Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Meslier,10,EVE (A) 0 - 1,11,90,0,0,1,0,0,0,0,0,0,8,3,38,51.6,0.0,0.0,5.2,-1702,301635,£4.5
Martinez,10,WHU (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,0,0,9,3.6,0.0,0.0,0.4,-17390,2056118,£4.8
McCarthy,10,MUN (H) 2 - 3,2,90,0,0,0,3,0,0,0,0,0,3,0,17,23.2,0.0,0.0,2.3,28605,1531860,£4.5
Johnstone,10,SHU (H) 1 - 0,11,90,0,0,1,0,0,0,0,0,0,6,3,33,39.8,0.0,0.0,4.0,15649,97761,£4.5
Leno,10,WOL (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,13,22.8,0.0,0.0,2.3,3905,679574,£5.0
Schmeichel,10,FUL (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,13,27.4,0.0,0.0,2.7,31917,909847,£5.5
Pope,10,MCI (A) 5 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-45982,747055,£5.4
Mendy,10,TOT (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,22,9.2,0.0,0.0,0.9,22592,522718,£5.1
Allison,10,BHA (A) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,2,0,12,19.6,0.0,0.0,2.0,10526,560510,£5.9
Ederson,10,BUR (H) 5 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,26,12.4,0.0,0.0,1.2,1671,432941,£6.0
Guaita,10,NEW (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,5,0,19,25.2,0.0,0.0,2.5,-6047,291786,£5.0
Areola,10,LEI (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,2,0,12,17.4,0.0,0.0,1.7,-1755,100136,£4.5
Ramsdale,10,WBA (A) 1 - 0,3,90,0,0,0,1,0,0,0,0,0,5,0,18,35.2,0.0,0.0,3.5,-6816,211796,£4.8
Pickford,10,LEE (H) 0 - 1,3,90,0,0,0,1,0,0,0,0,0,5,0,20,39.8,0.0,0.0,4.0,-18209,508548,£4.9
Ryan,10,LIV (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,-25792,990709,£4.5
de Gea,10,SOU (A) 2 - 3,0,45,0,0,0,2,0,0,0,0,0,1,0,5,3.6,0.0,0.0,0.4,-3651,291830,£5.4
Fabianski,11,MUN (H) 1 - 3,2,90,0,0,0,3,0,0,0,0,0,3,0,14,18.0,0.0,0.0,1.8,49857,333463,£5.1
Lloris,11,ARS (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,22,17.4,0.0,0.0,1.7,31837,443690,£5.5
Meslier,11,CHE (A) 3 - 1,3,90,0,0,0,3,0,0,0,0,0,7,0,21,54.2,0.0,0.0,5.4,43826,352439,£4.6
Patricio,11,LIV (A) 4 - 0,1,90,0,0,0,4,0,0,0,0,0,3,0,14,22.0,0.0,0.0,2.2,-24594,527305,£5.5
McCarthy,11,BHA (A) 1 - 2,2,90,0,0,0,1,0,0,0,1,0,3,0,12,26.6,0.0,0.0,2.7,117781,1668694,£4.6
Pope,11,EVE (H) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,5,0,19,37.8,0.0,0.0,3.8,-50308,698008,£5.4
Schmeichel,11,SHU (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,8,3.2,0.0,0.0,0.3,5874,917353,£5.5
Leno,11,TOT (A) 2 - 0,1,90,0,0,0,2,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,-28162,648266,£5.0
Johnstone,11,CRY (H) 1 - 5,0,90,0,0,0,5,0,0,0,0,0,2,0,12,14.2,0.0,0.0,1.4,40177,147390,£4.5
Ederson,11,FUL (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,22,12.2,0.0,0.0,1.2,28387,471360,£6.0
Mendy,11,LEE (H) 3 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,9,6.8,0.0,0.0,0.7,128656,682911,£5.2
Allison,11,WOL (H) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-51069,504953,£5.9
Guaita,11,WBA (A) 1 - 5,3,90,0,0,0,1,0,0,0,0,0,3,0,14,23.4,0.0,0.0,2.3,-12052,280217,£5.0
Areola,11,MCI (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,4,0,16,34.2,0.0,0.0,3.4,-2167,98750,£4.5
Ramsdale,11,LEI (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,2,0,13,17.2,0.0,2.0,1.9,-13532,197031,£4.8
Pickford,11,BUR (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,13,21.4,0.0,0.0,2.1,-3610,511457,£4.9
Ryan,11,SOU (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,1,0,12,12.0,0.0,0.0,1.2,-15494,976199,£4.5
de Gea,11,WHU (A) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-22383,270309,£5.4
