Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Havertz,4,CRY (H) 4 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,20,17.0,38.3,10.0,6.5,18647,633799,£8.4
Havertz,5,SOU (H) 3 - 3,7,90,1,0,0,3,0,0,0,0,0,0,0,25,32.8,9.7,25.0,6.8,-11232,646767,£8.4
Neto,5,LEE (A) 0 - 1,3,88,0,0,1,0,0,0,0,0,0,0,0,5,9.6,12.3,24.0,4.6,14275,95820,£5.5
Barkley,1,BHA (A) 1 - 3,1,29,0,0,0,0,0,0,0,0,0,0,0,1,4.2,11.8,7.0,2.3,0,17874,£6.0
Barkley,2,LIV (H) 0 - 2,1,11,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.0,0.0,0.1,-2091,20236,£6.0
Barkley,3,FUL (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-2661,19252,£5.9
Barkley,4,LIV (H) 7 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,24,36.6,3.9,55.0,9.6,8826,29128,£5.9
Barkley,5,LEI (A) 0 - 1,11,90,1,0,1,0,0,0,0,0,0,0,3,31,41.8,16.0,33.0,9.1,51128,89271,£5.9
Praet,5,AVL (H) 0 - 1,3,67,0,0,1,0,0,0,0,0,0,0,0,2,0.0,3.3,2.0,0.2,-12764,37182,£5.5
Foden,2,WOL (A) 1 - 3,9,90,1,0,0,1,0,0,0,0,0,0,2,37,46.4,18.8,23.0,8.8,20071,279640,£6.5
Foden,3,LEI (H) 2 - 5,2,63,0,0,0,3,0,0,0,0,0,0,0,5,0.6,3.7,0.0,0.4,205051,529454,£6.5
Foden,4,LEE (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,8.0,26.2,42.0,7.6,66213,603199,£6.6
Foden,5,ARS (H) 1 - 0,6,88,0,1,1,0,0,0,0,0,0,0,0,10,7.8,7.3,66.0,8.1,-84461,521154,£6.6
Aubameyang,5,MCI (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,7,8.6,29.9,2.0,4.1,-582811,1397443,£11.8
Mount,5,SOU (H) 3 - 3,2,71,0,0,0,2,0,0,0,0,0,0,0,6,6.0,23.3,46.0,7.5,-96494,462770,£6.9
Kouyate,5,BHA (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,15.4,0.0,0.0,1.5,-1105,50924,£5.0
Harrison,5,WOL (H) 0 - 1,2,81,0,0,0,1,0,0,0,0,0,0,0,11,15.8,42.7,28.0,8.7,-8192,149273,£5.5
Saint-Maximin,5,MUN (H) 1 - 4,2,90,0,0,0,4,0,0,0,0,0,0,0,15,18.4,25.3,13.0,5.7,-20265,520353,£5.3
Hourihane,5,LEI (A) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-3465,19025,£6.0
DeBruyne,5,ARS (H) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1309566,1796464,£11.6
Son,6,BUR (A) 0 - 1,11,90,1,0,1,0,0,0,0,0,0,0,3,30,36.2,9.4,61.0,10.7,746754,3897415,£9.4
Salah,6,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,-2,8.2,27.2,62.0,9.7,138491,3490524,£12.3
Zaha,6,FUL (A) 1 - 2,13,90,1,1,0,1,0,0,0,0,0,0,3,43,66.4,47.3,109.0,22.3,133920,1541444,£7.2
Rodriguez,6,SOU (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,13,13.8,25.5,27.0,6.6,-143019,2822056,£8.0
Grealish,6,LEE (H) 0 - 3,1,90,0,0,0,3,0,0,0,1,0,0,0,-5,8.4,16.9,47.0,7.2,536103,2033015,£7.2
Mane,6,SHU (H) 2 - 1,8,90,0,2,0,1,0,0,0,0,0,0,0,22,24.0,30.0,35.0,8.9,157162,651187,£12.0
Jorginho,6,MUN (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,2.2,2.3,1.0,0.6,140287,923955,£5.2
Fernandes,6,CHE (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,18.6,60.9,16.0,9.6,85046,1609144,£10.5
Costa,6,AVL (A) 0 - 3,6,82,0,1,1,0,0,0,0,0,0,0,0,19,29.6,42.7,42.0,11.4,-65296,670292,£5.7
Bowen,6,MCI (H) 1 - 1,2,68,0,0,0,1,0,0,0,0,0,0,0,5,2.0,0.9,6.0,0.9,8386,156321,£6.3
Klich,6,AVL (A) 0 - 3,5,90,0,1,1,0,0,0,0,1,0,0,0,18,30.0,41.5,31.0,10.3,-50949,504323,£5.6
McGinn,6,LEE (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,6,2.2,0.9,8.0,1.1,84413,189102,£5.5
Sterling,6,WHU (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,1,5.6,2.1,27.0,3.5,100619,557608,£11.6
Fornals,6,MCI (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,11.8,13.0,2.9,3085,29880,£6.4
Townsend,6,FUL (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,9,28.2,28.5,2.0,5.9,-20703,249458,£6.1
Rashford,6,CHE (H) 0 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,0,7.6,18.8,36.0,6.2,82732,513232,£9.5
Trossard,6,WBA (H) 1 - 1,3,78,0,0,1,0,0,0,0,0,0,0,0,11,9.2,4.7,14.0,2.8,1052,175554,£6.0
Barnes,6,ARS (A) 0 - 1,3,74,0,0,1,0,0,0,0,0,0,0,0,4,0.4,1.2,2.0,0.4,-93404,357564,£7.0
Foden,6,WHU (A) 1 - 1,6,45,1,0,0,0,0,0,0,0,0,0,0,21,39.0,6.8,26.0,7.2,39242,574478,£6.6
March,6,WBA (H) 1 - 1,3,69,0,0,1,0,0,0,0,0,0,0,0,5,4.0,20.6,4.0,2.9,13758,88440,£5.0
Hendrick,6,WOL (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,12,12.2,0.8,8.0,2.1,-30080,264943,£5.0
Pereira,6,BHA (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,9,4.4,17.0,8.0,2.9,-32315,207851,£6.0
Havertz,6,MUN (A) 0 - 0,2,71,0,0,1,0,0,0,0,1,0,0,0,3,3.4,15.2,0.0,1.9,-21025,626460,£8.4
Ward-Prowse,1,CRY (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,6.6,17.4,4.0,2.8,0,280881,£6.0
Ward-Prowse,2,TOT (H) 2 - 5,2,90,0,0,0,5,0,0,0,0,0,0,0,10,16.8,23.3,31.0,7.1,-43431,247080,£6.0
Ward-Prowse,3,BUR (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,16,11.4,5.1,0.0,1.7,-54820,195769,£5.9
Ward-Prowse,4,WBA (H) 2 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,13,12.2,44.2,0.0,5.6,-16855,182780,£5.9
Ward-Prowse,5,CHE (A) 3 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,14,7.6,8.9,2.0,1.9,-34625,148113,£5.8
Ward-Prowse,6,EVE (H) 2 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,44,52.0,39.2,19.0,11.0,-17855,131902,£5.8
Neto,6,NEW (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,8.4,28.3,37.0,7.4,7834,105534,£5.5
