Name,Value,Projection,Cost,Last Week Ranking,Total Rank,Home and Away
Gabriel,0.414654378157486,2.1741729474209106,5.0,64.0,67.0,-1.7682751620358728
Ait Nouri,0.3496100234897349,1.848951174082155,5.0,63.0,68.0,2.569874728295258
Furlong,0.3973305032715402,1.8787982156920633,4.5,71.0,69.0,0.4746849003527125
Matip,0.3660914461895983,2.08586695058799,5.4,69.0,70.0,1.5195963227165699
Stephens,0.3706279568654627,1.7977175736839304,4.6,62.0,71.0,1.3097943296009622
Holgate,0.3596278829565971,1.8230788525598076,4.8,68.0,72.0,-1.1139508331978822
David Luiz,0.23684521146161913,1.3879372830569028,5.4,86.0,73.0,1.2189900813678791
Mitchell,0.34395426571567655,1.4201244604652532,3.9,65.0,74.0,-0.03392738448738417
Balbuena,0.38962511137326583,1.803143419879833,4.4,74.0,75.0,-0.6459475773476027
Masuaku,0.38810207356465565,1.7556138250328126,4.3,76.0,76.0,0.4627277944329379
Fernandez,0.35567700479862424,1.766528915789006,4.7,75.0,77.0,-0.14841163044117947
Bartley,0.29434538811170896,1.3839126375289827,4.4,89.0,78.0,1.0828952184294491
Davies,0.33392456283448047,1.6288819611414118,4.6,73.0,79.0,-0.7164150233419055
Clyne,0.3230267185480021,1.5444311844361418,4.5,97.0,80.0,-0.7581888320382064
Koch,0.3625096575988422,1.6455664363798146,4.3,78.0,81.0,-0.8415507544576577
Ward,0.3033575783658836,1.391212495678093,4.3,72.0,82.0,-0.03540998833620985
Ampadu,0.2665397962680528,1.23289603265742,4.3,80.0,83.0,0.6815970125089459
Lamptey,0.337046325648884,1.6432420700876684,4.6,79.0,84.0,-0.4973853016464991
Dann,0.29840676617717476,1.3699240032666447,4.3,103.0,85.0,1.2053480500926241
Basham,0.28848186384722535,1.4198455458000383,4.6,82.0,86.0,0.48835378488507275
Fernandinho,0.23173064465675544,1.3603186223106383,5.4,104.0,87.0,0.6940064286958083
Van Aanholt,0.24180488804829084,1.4147195366249294,5.4,111.0,88.0,0.6527729821937758
Robinson,0.31755187944208785,1.4860211993826498,4.4,85.0,89.0,0.9240894284664007
Cedric,0.1835959213123135,0.9373702101394442,4.6,99.0,90.0,1.3111579835025284
Pieters,0.26683622285277253,1.2341706669717154,4.3,81.0,91.0,0.736614050891289
Hause,0.3110858315039039,1.4575705884546404,4.4,84.0,92.0,1.809763147645575
Struijk,0.2604075502239459,1.094292270047504,3.9,90.0,93.0,0.20061598476160022
Clark,0.2619587564420414,1.2696253549593188,4.5,88.0,94.0,-0.5622485678105429
Doherty,0.2452558614056578,1.486442007301182,5.6,83.0,95.0,-1.1655862348542123
Telles,0.21638252765327987,1.301095064389868,5.5,87.0,96.0,0.9449057219604706
Baldock,0.23834202695542875,1.266758967582412,4.9,93.0,97.0,-0.17449013377929967
Egan,0.20590679131319367,1.062608912407482,4.7,92.0,98.0,0.8836467519866894
Manquillo,0.23296796288693922,1.0632223316972684,4.2,112.0,99.0,-1.2854982681137805
Maitland-Niles,0.2183514619826655,1.0972456972230633,4.6,91.0,100.0,-0.5078359519040561
Schar,0.20138077087919587,1.0856488128088708,4.9,114.0,101.0,-0.023401043116621893
Bailly,0.19076924728176917,1.03365234718148,4.9,95.0,102.0,-0.1236798093188193
Coleman,0.21305556984614094,1.1195317496296178,4.8,98.0,103.0,-0.7521906777022871
Burn,0.1893009821134794,0.8798210124487372,4.2,102.0,104.0,-0.41041202271653815
Mendy,0.20578138390665376,1.3331734118767646,5.9,101.0,105.0,1.712102724807129
Townsend,0.2400021936233486,1.144802581780197,4.4,100.0,106.0,0.47814015251613606
Bogle,0.15002192000951659,0.7318691647457145,4.3,108.0,107.0,-0.14254754657661828
Fuchs,0.21674066481004056,1.066143942615315,4.5,105.0,108.0,0.29244690397067824
Ake,0.18610973832169317,1.1139657281013022,5.4,106.0,109.0,1.2849464945434292
Tomkins,0.16081096171369716,0.8506585132898484,4.7,96.0,110.0,0.29479450485957875
Stevens,0.17424850043833962,0.9721435588251787,5.0,107.0,111.0,0.36416994485318255
Ivanovic,0.1851404298758219,0.9239428854113313,4.5,110.0,112.0,0.6001616113339747
Lascelles,0.15099793402590422,0.7189482104809215,4.2,113.0,113.0,-0.4053135105995332
Mari,0.14174823036153844,0.712485143428232,4.4,109.0,114.0,-1.2237056656301337
